"SERIAL","NUMPREC","puma","county","location_name","um_distance","GQ","VEHICLES","rent","age","grade_level"
303589,3,8625,"Miami-Dade","Coral Gables North (NEAR UM!)","VERY CLOSE",1,1,3000,21,"15"
303619,2,1114,"Miami-Dade","Miami-Dade PUMA 1114","N/A",1,2,1800,25,"16"
303619,2,1114,"Miami-Dade","Miami-Dade PUMA 1114","N/A",1,2,1800,27,"16"
304054,3,101,"Miami-Dade","North Miami Beach & Aventura","Far",1,1,1700,27,"16"
304095,3,1902,"Palm Beach","Palm Beach PUMA 1902","N/A",1,2,1700,22,"15"
304108,2,102,"Miami-Dade","North Miami","Far",1,2,1100,23,"15"
304183,2,1103,"Miami-Dade","Coconut Grove","Very Close",1,1,2000,19,"15"
304283,5,1111,"Miami-Dade","South Miami & Pinecrest","Very Close",1,4,3000,21,"15"
304302,1,101,"Miami-Dade","North Miami Beach & Aventura","Far",1,1,1400,20,"15"
304365,2,8606,"Miami-Dade","South Miami Heights","Close",1,1,1500,30,"15"
304539,2,101,"Miami-Dade","North Miami Beach & Aventura","Far",1,2,1400,30,"15"
304621,1,101,"Miami-Dade","North Miami Beach & Aventura","Far",1,1,1000,21,"15"
304684,2,1110,"Miami-Dade","Westchester","Close",1,2,2000,26,"16"
304684,2,1110,"Miami-Dade","Westchester","Close",1,2,2000,27,"16"
304714,3,904,"Miami-Dade","Allapattah","Far",1,3,2400,23,"15"
304714,3,904,"Miami-Dade","Allapattah","Far",1,3,2400,24,"15"
304714,3,904,"Miami-Dade","Allapattah","Far",1,3,2400,24,"15"
304837,1,903,"Miami-Dade","Little Haiti","Far",1,1,1800,27,"16"
304841,3,8610,"Miami-Dade","Coral Gables Central (UM CAMPUS!)","VERY CLOSE",1,1,1900,18,"15"
304841,3,8610,"Miami-Dade","Coral Gables Central (UM CAMPUS!)","VERY CLOSE",1,1,1900,19,"15"
304970,4,8607,"Miami-Dade","Kendall Sunset","Moderate",1,2,2000,19,"15"
305014,2,901,"Miami-Dade","Miami-Dade PUMA 901","N/A",1,2,2500,24,"16"
305199,2,1114,"Miami-Dade","Miami-Dade PUMA 1114","N/A",1,2,1500,20,"15"
305642,4,101,"Miami-Dade","North Miami Beach & Aventura","Far",1,3,4000,24,"15"
305642,4,101,"Miami-Dade","North Miami Beach & Aventura","Far",1,3,4000,21,"15"
305642,4,101,"Miami-Dade","North Miami Beach & Aventura","Far",1,3,4000,21,"15"
305809,2,8615,"Miami-Dade","Kendall Hammocks","Moderate",1,2,2200,25,"15"
305838,2,1901,"Palm Beach","Palm Beach PUMA 1901","N/A",1,2,1200,25,"15"
305931,1,101,"Miami-Dade","North Miami Beach & Aventura","Far",1,1,1500,20,"15"
305979,3,5706,"Palm Beach","Palm Beach PUMA 5706","N/A",1,1,2400,19,"15"
306160,5,8623,"Miami-Dade","South Dade","Far",1,3,1300,19,"15"
306261,3,8616,"Miami-Dade","Kendall Central","Moderate",1,2,3000,21,"15"
306316,2,8609,"Miami-Dade","Miami-Dade PUMA 8609","N/A",1,2,2000,25,"15"
306497,2,8624,"Miami-Dade","Miami-Dade PUMA 8624","N/A",1,1,1800,25,"15"
306498,3,8622,"Miami-Dade","Cutler Bay South","Far",1,3,1700,23,"15"
306498,3,8622,"Miami-Dade","Cutler Bay South","Far",1,3,1700,19,"15"
306561,5,1108,"Miami-Dade","Kendall Lakes","Moderate",1,2,1900,24,"16"
306561,5,1108,"Miami-Dade","Kendall Lakes","Moderate",1,2,1900,19,"15"
306561,5,1108,"Miami-Dade","Kendall Lakes","Moderate",1,2,1900,18,"15"
306574,3,1106,"Miami-Dade","Doral","Moderate",1,2,3100,25,"15"
306738,1,102,"Miami-Dade","North Miami","Far",1,1,680,25,"16"
306880,4,8624,"Miami-Dade","Miami-Dade PUMA 8624","N/A",1,2,2000,22,"16"
306918,5,8607,"Miami-Dade","Kendall Sunset","Moderate",1,4,1900,18,"15"
307022,1,905,"Miami-Dade","Miami-Dade PUMA 905","N/A",1,2,390,26,"16"
307177,5,8623,"Miami-Dade","South Dade","Far",1,4,1700,20,"15"
307225,2,2101,"Palm Beach","Palm Beach PUMA 2101","N/A",1,2,1500,24,"16"
307234,3,8610,"Miami-Dade","Coral Gables Central (UM CAMPUS!)","VERY CLOSE",1,1,3900,29,"15"
307247,4,5705,"Palm Beach","Palm Beach PUMA 5705","N/A",1,3,1600,21,"15"
307247,4,5705,"Palm Beach","Palm Beach PUMA 5705","N/A",1,3,1600,18,"15"
307267,1,101,"Miami-Dade","North Miami Beach & Aventura","Far",1,1,990,21,"15"
